alpha,rradd,tslice,algo,avg_cpu_burst,avg_wait_time,avg_turnaround_time, total_cxtswitch_no,total_preemption_no
0.4,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.4,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.4,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.4,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.4,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.4,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.4,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.4,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.4,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.4,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.4,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.4,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.4,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.4,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.4,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.5,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.5,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.5,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.5,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.5,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.5,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.5,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.5,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.5,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.5,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.5,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.5,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.5,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.5,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.5,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.5,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.5,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.5,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.5,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.5,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.5,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.5,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.5,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.5,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.6,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.6,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.6,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.6,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.6,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.6,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.6,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.6,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.6,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.6,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.6,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.6,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.6,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.6,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.6,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.6,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.6,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.6,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.6,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.6,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.6,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.6,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.6,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.6,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.7,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.7,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.7,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.7,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.7,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.7,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.7,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.7,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.7,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.7,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.7,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.7,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.7,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.7,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.7,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.7,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.7,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.7,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.7,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.7,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.7,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.7,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.7,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.7,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.8,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.8,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.8,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.8,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.8,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.8,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.8,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.8,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.8,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.8,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.8,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.8,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.8,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.8,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.8,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.8,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.8,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.8,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.8,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.8,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.8,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.8,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.8,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.8,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.9,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.9,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.9,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.9,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.9,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.9,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.9,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.9,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.9,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.9,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.9,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.9,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.9,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.9,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.9,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.9,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.9,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.9,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.9,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.9,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.9,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.9,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.9,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.9,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
