alpha,rradd,tslice,algo,avg_cpu_burst,avg_wait_time,avg_turnaround_time, total_cxtswitch_no,total_preemption_no
0.4,BEGINNING,20,FCFS,10.000,126.258,138.258,1000,0
0.4,BEGINNING,20,RR,10.000,67.830,79.830,1000,0
0.4,END,50,SJF,10.000,67.662,79.662,1000,0
0.4,END,50,SRT,10.000,68.622,80.728,1053,53
0.4,END,50,FCFS,10.000,126.258,138.258,1000,0
0.4,END,50,RR,10.000,126.258,138.258,1000,0
0.4,BEGINNING,50,SJF,10.000,67.662,79.662,1000,0
0.4,BEGINNING,50,SRT,10.000,68.622,80.728,1053,53
0.4,BEGINNING,50,FCFS,10.000,126.258,138.258,1000,0
0.4,BEGINNING,50,RR,10.000,67.830,79.830,1000,0
0.5,END,10,SJF,10.000,67.662,79.662,1000,0
0.5,END,10,SRT,10.000,68.427,80.511,1042,42
0.5,END,10,FCFS,10.000,126.258,138.258,1000,0
0.5,END,10,RR,10.000,126.258,138.258,1000,0
0.5,BEGINNING,10,SJF,10.000,67.662,79.662,1000,0
0.5,BEGINNING,10,SRT,10.000,68.427,80.511,1042,42
0.5,BEGINNING,10,FCFS,10.000,126.258,138.258,1000,0
0.5,BEGINNING,10,RR,10.000,67.830,79.830,1000,0
0.5,END,20,SJF,10.000,67.662,79.662,1000,0
0.5,END,20,SRT,10.000,68.427,80.511,1042,42
0.5,END,20,FCFS,10.000,126.258,138.258,1000,0
0.5,END,20,RR,10.000,126.258,138.258,1000,0
0.5,BEGINNING,20,SJF,10.000,67.662,79.662,1000,0
0.5,BEGINNING,20,SRT,10.000,68.427,80.511,1042,42
0.5,BEGINNING,20,FCFS,10.000,126.258,138.258,1000,0
0.5,BEGINNING,20,RR,10.000,67.830,79.830,1000,0
0.5,END,50,SJF,10.000,67.662,79.662,1000,0
0.5,END,50,SRT,10.000,68.427,80.511,1042,42
0.5,END,50,FCFS,10.000,126.258,138.258,1000,0
0.5,END,50,RR,10.000,126.258,138.258,1000,0
0.5,BEGINNING,50,SJF,10.000,67.662,79.662,1000,0
0.5,BEGINNING,50,SRT,10.000,68.427,80.511,1042,42
0.5,BEGINNING,50,FCFS,10.000,126.258,138.258,1000,0
0.5,BEGINNING,50,RR,10.000,67.830,79.830,1000,0
0.6,END,10,SJF,10.000,67.662,79.662,1000,0
0.6,END,10,SRT,10.000,68.232,80.294,1031,31
0.6,END,10,FCFS,10.000,126.258,138.258,1000,0
0.6,END,10,RR,10.000,126.258,138.258,1000,0
0.6,BEGINNING,10,SJF,10.000,67.662,79.662,1000,0
0.6,BEGINNING,10,SRT,10.000,68.232,80.294,1031,31
0.6,BEGINNING,10,FCFS,10.000,126.258,138.258,1000,0
0.6,BEGINNING,10,RR,10.000,67.830,79.830,1000,0
0.6,END,20,SJF,10.000,67.662,79.662,1000,0
0.6,END,20,SRT,10.000,68.232,80.294,1031,31
0.6,END,20,FCFS,10.000,126.258,138.258,1000,0
0.6,END,20,RR,10.000,126.258,138.258,1000,0
0.6,BEGINNING,20,SJF,10.000,67.662,79.662,1000,0
0.6,BEGINNING,20,SRT,10.000,68.232,80.294,1031,31
0.6,BEGINNING,20,FCFS,10.000,126.258,138.258,1000,0
0.6,BEGINNING,20,RR,10.000,67.830,79.830,1000,0
0.6,END,50,SJF,10.000,67.662,79.662,1000,0
0.6,END,50,SRT,10.000,68.232,80.294,1031,31
0.6,END,50,FCFS,10.000,126.258,138.258,1000,0
0.6,END,50,RR,10.000,126.258,138.258,1000,0
0.6,BEGINNING,50,SJF,10.000,67.662,79.662,1000,0
0.6,BEGINNING,50,SRT,10.000,68.232,80.294,1031,31
0.6,BEGINNING,50,FCFS,10.000,126.258,138.258,1000,0
0.6,BEGINNING,50,RR,10.000,67.830,79.830,1000,0
0.7,END,10,SJF,10.000,67.662,79.662,1000,0
0.7,END,10,SRT,10.000,68.118,80.170,1026,26
0.7,END,10,FCFS,10.000,126.258,138.258,1000,0
0.7,END,10,RR,10.000,126.258,138.258,1000,0
0.7,BEGINNING,10,SJF,10.000,67.662,79.662,1000,0
0.7,BEGINNING,10,SRT,10.000,68.118,80.170,1026,26
0.7,BEGINNING,10,FCFS,10.000,126.258,138.258,1000,0
0.7,BEGINNING,10,RR,10.000,67.830,79.830,1000,0
0.7,END,20,SJF,10.000,67.662,79.662,1000,0
0.7,END,20,SRT,10.000,68.118,80.170,1026,26
0.7,END,20,FCFS,10.000,126.258,138.258,1000,0
0.7,END,20,RR,10.000,126.258,138.258,1000,0
